make,model,price,year,doors,fueltype,epapassenger,transmission,engine,weight,length,width,towingcapacity,trunkcapacity,horsepower,horsepowerrpm,torque,torquerpm,mpgcity,mpghighway,mpgcombined,luxury,sport
Porsche,Macan,53450,2021,4,Gas,,Automatic,,,,,,,,,,,,,22,TRUE,FALSE
Porsche,Taycan,106500,2021,4,Electric,,Automatic,,,,,,,,,,,,,80,TRUE,TRUE
Porsche,Panamera,88550,2021,4,Gas,,Automatic,,,,,,,,,,,,,20,TRUE,TRUE
Saturn,VUE,7652,2010,4,Gas,,Automatic,,,,,,,,,,,,,22,FALSE,FALSE
Saturn,SKY,12515,2009,2,Gas,,Manual,,,,,,,,,,,,,21,FALSE,TRUE
Saturn,Ion,4886,2007,4,Gas,,Manual,,,,,,,,,,,,,23,FALSE,FALSE
Subaru,BRZ,28955,2022,2,Gas,,Manual,,,,,,,,,,,,,22,FALSE,TRUE
Subaru,WRX,28420,2021,4,Gas,,Manual,4-Cyl 2.0L,,,,,,,,,,,,23,FALSE,TRUE
Subaru,Outback,28047,2022,4,Gas,,Manual,,,,,,,,,,,,,29,FALSE,FALSE
Subaru,Forester,26230,2022,4,Gas,,Automatic,,,,,,,,,,,,,29,FALSE,FALSE
Mercury,Grand Marquis,6569,2008,4,Gas,,Automatic,,,,,,,,,,,,,18,TRUE,FALSE
Pontiac,Grand Prix,5749,2008,4,Gas,,Automatic,,,,,,,,,,,,,21,FALSE,TRUE
Lamborghini,Urus,253010,2019,4,Gas,,Automatic,,,,,,,,,,,,,14,TRUE,TRUE
Lamborghini,Huracan,254569,2019,2,Gas,,Manual,,,,,,,,,,,,,15,FALSE,TRUE
Lamborghini,Aventador,442937,2019,2,Gas,,Manual,,,,,,,,,,,,,11,FALSE,TRUE
Mclaren,570S,195000,2020,2,Gas,,Manual,,,,,,,,,,,,,18,TRUE,TRUE
Mclaren,GT-R,218695,2021,2,Gas,,Manual,,,,,,,,,,,,,18,TRUE,TRUE
Mclaren,720S,301500,2020,2,Gas,,Manual,,,,,,,,,,,,,18,TRUE,TRUE
Mercedes-Benz,A-Class,34700,2021,4,Gas,,Automatic,4-Cyl 2.0L ,3889,,,,,,,,,,,29,TRUE,FALSE
Mercedes-Benz,S-Class,110850,2021,4,Gas,,Automatic,6-Cyl 3.0L Twin Turbo,4775,,,,,,,,,,,24,TRUE,TRUE
Mercedes-Benz,C-Class,42650,2021,4,Gas,,Automatic,4-Cyl 20.L Turbo,3750,,,,,,,,,,,27,TRUE,TRUE
Mitsubishi,Outlander Sport,22090,2021,4,Gas,,Automatic,4-Cyl 2.0L,3120,,,,,,,,,,,27,FALSE,FALSE
Mitsubishi,Mirage,15565,2021,4,Gas,,Automatic,4-Cyl 1.2L,2910,,,,,,,,,,,36,FALSE,FALSE
Nissan,Rogue,26745,2021,4,Gas,,Automatic,4-Cyl 2.5L,3638,,,,,,,,,,,30,FALSE,FALSE
Nissan,Sentra,20335,2021,4,Gas,,Automatic,4-Cyl 2.0L,3048,,,,,,,,,,,33,FALSE,FALSE
Nissan,Versa,15880,2021,4,Gas,,Automatic,4-Cyl 1.5L,2599,,,,,,,,,,,30,FALSE,FALSE
Nissan,Altima,25225,2021,4,Gas,,Automatic,4-Cyl 2.5L,3208,,,,,,,,,,,32,FALSE,FALSE
Nissan,370Z,31015,2020,2,Gas,,Manual,6-Cyl 3.7L,3386,,,,,,,,,,,20,FALSE,TRUE
Nissan,GT-R,113540,2021,2,Gas,,Automatic,6-Cyl 3.8L Twin Turbo,3865,,,,,,,,,,,19,FALSE,TRUE
MAZDA,MX-5 Miata,27775,2021,2,Gas,,Manual,,,,,,,,,,,,,29,FALSE,TRUE
MAZDA,CX-30,23000,2021,4,Gas,,Automatic,,,,,,,,,,,,,28,FALSE,FALSE
MAZDA,MAZDA3,21445,2021,4,Gas,,Automatic,,,,,,,,,,,,,31,FALSE,FALSE
MAZDA,CX-5,26370,2021,4,Gas,,Automatic,sky engine,,,,,,,,,,,,28,FALSE,FALSE
MAZDA,XC-9,35060,2021,4,Gas,,Automatic,,,,,,,,,,,,,24,TRUE,FALSE
Honda,Civic,22915,2022,4,Gas,,Automatic,VTEC,,,,,,,,,,,,35,FALSE,FALSE
Honda,Accord,25985,2022,4,Gas,,Automatic,,,,,,,,,,,,,33,FALSE,FALSE
Honda,CR-V,26875,2022,4,Gas,,Automatic,,,,,,,,,,,,,30,FALSE,FALSE
Honda,Accord Hybrid,35395,2022,4,Hybrid,,Automatic,,,,,,,,,,,,,110,FALSE,FALSE
Honda,Civic Type R,38450,2021,4,Gas,,Manual,,,,,,,,,,,,,25,FALSE,TRUE
Honda,Ridgeline,38115,2022,4,Gas,,Automatic,,,,,,,,,,,,,21,FALSE,FALSE
Acura,MDX Sport Hybrid,54025,2020,4,Hybrid,,Automatic,VTEC,,,,,,,,,,,,27,TRUE,TRUE
Acura,TLX,38525,2021,4,Gas,,Automatic,,,,,,,,,,,,,25,TRUE,FALSE
Acura,RLX,55925,2020,4,Gas,,Automatic,,,,,,,,,,,,,23,TRUE,FALSE
Acura,NSX,159495,2021,4,Gas,,Automatic,,,,,,,,,,,,,21,TRUE,TRUE
Aston Martin,Vantage,149086,2021,2,Gas,,Automatic,,,,,,,,,,,,,17,TRUE,TRUE
Aston Martin,DBX,179080,2022,4,Gas,,Automatic,,,,,,,,,,,,,15,TRUE,TRUE
Aston Martin,DB11,208000,2021,2,Gas,,Automatic,,,,,,,,,,,,,20,TRUE,TRUE
Aston Martin,Vanquish,211080,2018,2,Gas,,Automatic,,,,,,,,,,,,,17,TRUE,TRUE
Alfa Romeo,Giulia,44065,2022,4,Gas,,Automatic,,,,,,,,,,,,,27,TRUE,TRUE
Alfa Romeo,Stelvio,46645,2022,4,Gas,,Automatic,,,,,,,,,,,,,25,TRUE,FALSE
Alfa Romeo,4C,68745,2020,2,Gas,,Automatic,,,,,,,,,,,,,28,TRUE,TRUE
Audi,Q5,45195,2022,4,Gas,,Automatic,,,,,,,,,,,,,25,TRUE,FALSE
Audi,A7,70245,2022,4,Gas,,Automatic,,,,,,,,,,,,,24,TRUE,TRUE
Audi,R8,208020,2022,2,Gas,,Automatic,,,,,,,,,,,,,16,TRUE,TRUE
Audi,A5,44545,2022,4,Gas,,Automatic,,,,,,,,,,,,,29,TRUE,TRUE
Audi,RS,52082,2022,4,Gas,,Automatic,,,,,,,,,,,,,18,TRUE,TRUE
Audi,TT,50845,2021,2,Gas,,Automatic,,,,,,,,,,,,,26,FALSE,TRUE
Scion,FR-S,20884,2018,2,Gas,,Automatic,,,,,,,,,,,,,28,FALSE,TRUE
Scion,TC,15110,2015,2,Gas,,Automatic,,,,,,,,,,,,,26,FALSE,TRUE
Scion,XB,13025,2015,4,Gas,,Automatic,,,,,,,,,,,,,24,FALSE,FALSE
